titleid|console|mediatype|name|namelang|parentallevel|icon|iconlang|resolution|soundformat
NPUB31457|ps3|edi|PVZ Garden Warfare|"<name lang=""1"">PVZ Garden Warfare</name>"|4|http://tmdb.np.dl.playstation.net/tmdb/NPUB31457_00_90E8BF738C3DD9BF064CCEAD962793CE05E81DFF/ICON0.PNG|"<icon lang=""1"" type=""320x176"">http://tmdb.np.dl.playstation.net/tmdb/NPUB31457_00_90E8BF738C3DD9BF064CCEAD962793CE05E81DFF/ICON0_01.PNG</icon>"|480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,Dolby,DTS
NPUB31459|ps3|edi|Bound by Flame||9|http://tmdb.np.dl.playstation.net/tmdb/NPUB31459_00_C5DBF7F0135B4C21F4A8C229450017E1CB30ED8D/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,Dolby
NPUB31460|ps3|edi|Sherlock Holmes: Crimes and Punishments||9|http://tmdb.np.dl.playstation.net/tmdb/NPUB31460_00_1D8473F42BF32ACFBC6FBA156DBD10471EE9F41F/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM
NPUB31461|ps3|edi|Tour de France 2014|"<name lang=""2"">Tour de France 2014</name><name lang=""3"">Tour de France 2014</name><name lang=""4"">Tour de France 2014</name><name lang=""5"">Tour de France 2014</name>"|3|http://tmdb.np.dl.playstation.net/tmdb/NPUB31461_00_C1F098C5AE163CCF8B7B286A6DFEB5700E03988D/ICON0.PNG||480,576,720|2LPCM
NPUB31462|ps3|edi|Master Reboot||5|http://tmdb.np.dl.playstation.net/tmdb/NPUB31462_00_B353017FD474CEC976C46FAD2A4BB66C653456EB/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,Dolby,DTS
NPUB31463|ps3|edi|Might &amp; Magic Duel of Champions Forgotten Wars||5|http://tmdb.np.dl.playstation.net/tmdb/NPUB31463_00_ED8B70E4CFA8A2CE38E72725EA94E775F069C673/ICON0.PNG||480,576,720,1080|2LPCM,5.1LPCM,Dolby,DTS
NPUB31464|ps3|edi|Mugen Souls Z|"<name lang=""1"">Mugen Souls Z</name><name lang=""9"">페어리 펜서 F</name>"|5|http://tmdb.np.dl.playstation.net/tmdb/NPUB31464_00_404F8810A63A16D5C0447EDBA913DB31D64F3787/ICON0.PNG||480,720|2LPCM,5.1LPCM
NPUB31465|ps3|edi|Disney Infinity [2.0]||4|http://tmdb.np.dl.playstation.net/tmdb/NPUB31465_00_EA9E266C5E9762B0CA00A259699665F4BD635C97/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
NPUB31466|ps3|edi|Cel Damage HD||4|http://tmdb.np.dl.playstation.net/tmdb/NPUB31466_00_655CFE50E1BC801F82B48A217C0347E6D06AD25B/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM
NPUB31467|ps3|edi|R.B.I. Baseball 14||3|http://tmdb.np.dl.playstation.net/tmdb/NPUB31467_00_EB090D720FE537D3DD583352EB2BFA44CAAC5935/ICON0.PNG||480,720,480SQ|2LPCM,5.1LPCM
NPUB31468|ps3|edi|Syberia||5|http://tmdb.np.dl.playstation.net/tmdb/NPUB31468_00_000FCDEC4BB592BE51D93A56387D73A3C590A051/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM
NPUB31470|ps3|edi|Far Cry® 4||9|http://tmdb.np.dl.playstation.net/tmdb/NPUB31470_00_173B4404CEE6E8F24433B775C8354303ED55A3BB/ICON0.PNG||480,720,1080,480SQ|2LPCM,5.1LPCM,Dolby,DTS
NPUB31471|ps3|edi|Jimmie Johnson's Anything With an Engine||4|http://tmdb.np.dl.playstation.net/tmdb/NPUB31471_00_38BA227FDEEC0FFE25376DFFB1253B85DB224ACD/ICON0.PNG||480,720,480SQ|2LPCM,5.1LPCM,Dolby,DTS
NPUB31472|ps3|edi|NARUTO SHIPPUDEN™: Ultimate Ninja® STORM Revolution||5|http://tmdb.np.dl.playstation.net/tmdb/NPUB31472_00_F6531A1F86D322711F3E7189D039A2BC6C357DE9/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,Dolby
NPUB31473|ps3|edi|Fairy Fencer F|"<name lang=""1"">Fairy Fencer F</name>"|5|http://tmdb.np.dl.playstation.net/tmdb/NPUB31473_00_818BA635543B7B262833316179209AD054670474/ICON0.PNG||480,720,1080,480SQ|2LPCM,5.1LPCM,DTS
NPUB31474|ps3|edi|Arcana Heart 3 LOVE MAX!!!!!|"<name lang=""0"">アルカナハート3 LOVE MAX!!!!!</name><name lang=""1"">Arcana Heart 3 LOVE MAX!!!!!</name>"|5|http://tmdb.np.dl.playstation.net/tmdb/NPUB31474_00_BD8331D01EC3F94AC0D8675925AA2086A7F5CFB9/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM
NPUB31475|ps3|edi|AKIBA'S TRIP UNDEAD &amp; UNDRESSED|"<name lang=""1"">AKIBA'S TRIP UNDEAD &amp; UNDRESSED</name><name lang=""9"">AKIBA'S TRIP 2</name><name lang=""10"">AKIBA'S TRIP 2</name>"|9|http://tmdb.np.dl.playstation.net/tmdb/NPUB31475_00_E66877F63D1DC5B82D3BE3F1178133C466377802/ICON0.PNG||480,720,480SQ|2LPCM,5.1LPCM,7.1LPCM
NPUB31476|ps3|edi|Pier Solar and the Great Architects|"<name lang=""0"">ピアソーラーと偉大なる建築家</name><name lang=""1"">Pier Solar and the Great Architects</name>"|5|http://tmdb.np.dl.playstation.net/tmdb/NPUB31476_00_8F6367870FA6E36E5299D52D80E212A4E02C4953/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM
NPUB31477|ps3|edi|Sacred 3||9|http://tmdb.np.dl.playstation.net/tmdb/NPUB31477_00_08464EF9FBD6D2C564B6113D3488564C97EFF5C1/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
NPUB31478|ps3|edi|METAL GEAR SOLID V: THE PHANTOM PAIN TRAILER EXPORTER||9|http://tmdb.np.dl.playstation.net/tmdb/NPUB31478_00_D7AF85E25BE81BCF71904A24BE082D4379409EF1/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM
NPUB31479|ps3|edi|ONE PIECE Unlimited World Red||5|http://tmdb.np.dl.playstation.net/tmdb/NPUB31479_00_C4E543CC17DBF36DA3BB1E156C1BF1D205ED16C8/ICON0.PNG||480,576,720|2LPCM,5.1LPCM
NPUB31480|ps3|edi|Q.U.B.E: Director's Cut||4|http://tmdb.np.dl.playstation.net/tmdb/NPUB31480_00_78D94345961AC5F3B1F4AC8F5554FB9B944600EB/ICON0.PNG||480,576,720,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM
NPUB31481|ps3|edi|Hotline Miami 2: Wrong Number||9|http://tmdb.np.dl.playstation.net/tmdb/NPUB31481_00_2E9625178C0D08751425BB2B90CED877E1B4A35B/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM
NPUB31482|ps3|edi|Madden NFL 15||3|http://tmdb.np.dl.playstation.net/tmdb/NPUB31482_00_2D9C07C914826397602C48241C7BA7E24DBF0288/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM,Dolby,DTS
NPUB31483|ps3|edi|Tiny Troopers Joint Ops||5|http://tmdb.np.dl.playstation.net/tmdb/NPUB31483_00_DDEA8037F39A9AF952E6B01CCDD07D94D3C919FD/ICON0.PNG||480,576,720,1080,480SQ,576SQ|2LPCM
NPUB31484|ps3|edi|Falling Skies: The Game (Digital)|"<name lang=""2"">Falling Skies: Le Jeu Vidéo (Digital)</name>"|5|http://tmdb.np.dl.playstation.net/tmdb/NPUB31484_00_5F9B5C07FE6FD4ED1633C736C416FEE653CB7290/ICON0.PNG|"<icon lang=""2"" type=""320x176"">http://tmdb.np.dl.playstation.net/tmdb/NPUB31484_00_5F9B5C07FE6FD4ED1633C736C416FEE653CB7290/ICON0_02.PNG</icon><icon lang=""3"" type=""320x176"">http://tmdb.np.dl.playstation.net/tmdb/NPUB31484_00_5F9B5C07FE6FD4ED1633C736C416FEE653CB7290/ICON0_03.PNG</icon><icon lang=""17"" type=""320x176"">http://tmdb.np.dl.playstation.net/tmdb/NPUB31484_00_5F9B5C07FE6FD4ED1633C736C416FEE653CB7290/ICON0_17.PNG</icon>"|480,576,720,1080,480SQ,576SQ|2LPCM,5.1LPCM,7.1LPCM
